commenter_co,commenter_name,commenter_page,commenter_star,commenter_zan
" 个人认为比夏洛更有层次，马丽简直喜剧界斯大林，笑声是制裁性的
        ",辣眼看电视,https://www.douban.com/people/151784886/,推荐,3445
" 可能这种电影存在的意义就是为了某些资本洗黑钱的吧
        ",傲寒,https://www.douban.com/people/138954658/,2017-10-01 10:42:16,19
" 开心麻花回归纯粹的喜剧路线，马丽出场一开口就忍不住笑了…变身后进入女浴室的狂欢，达到全片最高潮，“好运来”莫名的喜庆，吴良太帅！2017版《你的名字》+《摔跤吧爸爸》+《激战》。“是不是有种恍然大明白的感觉？”哈哈哈…
        ",影志,https://www.douban.com/people/tjz230/,推荐,2046
" 十一档票房冠军！比「夏洛特」好，马丽表演真的很厉害！要说Bug，可能就是拜师学艺后，练了那么久拳击的艾伦怎么还是一肚子囊肉，完全不符合人设呀....
        ",朝阳区白百合,https://www.douban.com/people/50060410/,还行,1729
" 事实证明，只要价值观不歪，开心麻花的喜剧还是很上乘的
        ",刘十九,https://www.douban.com/people/4901199/,推荐,1917
" 抱着打三颗星的预期看的，没想到这电影给了我五颗星的惊喜。真的好看，把反转运用到极致，笑点密集，差点笑断气。好电影能说服你吃下一切剧情，性转CP我吃下了，两个中年大老爷卖腐我吃下了，连杀马特耍帅我也吃下了……马丽太帅了，沈腾帅不过三秒，全片都很酷，燃得我都想去打拳了。
        ",小烨,https://www.douban.com/people/3984361/,力荐,1453
" 剧情老人设老桥段老，但是没耽误好笑，男主演得居然真可以，娘得自然娘得清新，有的角度还有点像盗版李易峰。鼓励性四星
        ",黄青蕉,https://www.douban.com/people/sakimay/,推荐,1128
" 。。。
        ",红藕香残玉簟秋,https://www.douban.com/people/127437486/,2017-10-03 15:57:31,0
" GOGO POWER RANGERS
        ",        柒。,https://www.douban.com/people/154141451/,2017-10-03 18:44:22,0
" cosplay服装
        ",基本粒子,https://www.douban.com/people/162672445/,2017-10-02 12:03:24,1
" 怕想猎杀的是宅男群体吧
        ",何小二,https://www.douban.com/people/159186254/,2017-09-30 09:51:08,0
" 休想！！
        ",闲来扯淡,https://www.douban.com/people/160968490/,2017-10-01 13:59:48,0
" 你当我是浮夸吗
                
                ",厄喏,https://www.douban.com/people/164733583/,2017-09-30 22:33:03,0
" 始终没办法喜欢开心麻花的电影，满场尴尬到不行。甚至在身体互换梗这个题材里，也不算特别突出的，笑点的打磨程度，远不如夏洛特，虽然那部也挺奇怪的。开心麻花的问题始终是，你能感觉到他们卖力在演，一直出戏。
        ",桃桃淘电影,https://www.douban.com/people/qijiuzhiyue/,还行,558
" 没有生硬的堆砌网络段子，没有尴尬的零演技小花鲜肉，没有像群英会一样请大牌演员客串......也许开心麻花没有做的特别优秀，但是犯的错误比同行少，就已经成功了一半吧。长评：https://movie.douban.com/review/8835503/
        ",大海里的针,https://www.douban.com/people/65569388/,推荐,979
" 太可怕了。周围所有人笑到抽筋癫狂背过气儿，然后我在中间看着银幕像个傻逼，史上观影经历最魔幻现实的一次。
        ",杨欢喜Metiche,https://www.douban.com/people/metiche/,很差,467
" 薛皓文和樊野长得一毛一样！！！
        ",海边的卡夫卡,https://www.douban.com/people/zcs1222/,还行,335
" 大失所望，连这种身份互置喜剧的平均水准都达不到，所谓演过好几百场、千锤百炼的笑点全都是廉价无聊老掉牙的性笑话和周星驰。亏得马丽和艾伦老师的演技撑场啊，否则就是一星的货。对了，再重申一遍，驴得水不是开心麻花的作品。
        ",m89,https://www.douban.com/people/duzhouchi/,较差,409
" 尹正那五秒客串太令人心痛了！已经从一剪梅变成一剪肥了！
        ",王大根,https://www.douban.com/people/diewithme/,推荐,342
" 和我一样有恐怖感的请点“有用”。
        ",慕容七,https://www.douban.com/people/19296065/,2017-09-21 01:51:45,34
" 这种东西居然能上映?
        ",D.wade,https://www.douban.com/people/156912551/,2017-09-29 20:14:33,0
" 我其实想看的是 。。。。。本。。本子
        ",LUQK,https://www.douban.com/people/159948345/,2017-10-02 22:19:38,0
" 我
        ",开心果,https://www.douban.com/people/167557414/,2017-10-03 15:05:50,0
" 都是小孩子，搞那么大，违和感
        ",摆姿势,https://www.douban.com/people/88088287/,2017-10-03 12:30:30,0
" 十月烂片季已经来了
        ",Story,https://www.douban.com/people/167472551/,2017-10-01 17:19:23,0
" 战队性质的吗？
                
                ",TaoHuang0924,https://www.douban.com/people/148936481/,2017-10-01 09:28:36,0
" 开心麻花的东西说实话，不叫电影
        ",马田史高,https://www.douban.com/people/59025385/,很差,342
" 非常老套也非常尴尬的喜剧，真的受不了沈腾夸张的表情，不，是所有演员夸张的表情
        ",小时候可牛B了,https://www.douban.com/people/56055715/,较差,380
" 6.8/10三星半，真正的喜剧，旁边的导演朋友和周黎明全程都笑岔气了。类型和定位很明确，开心麻花每部电影的背后都是上百场舞台剧的演出经验，剧本的笑点每场都在根据观众的反应在调整，上百场之后绝对是一个笑点密集的喜剧剧本，电影拍起来会容易很多，虽然剧作也偏弱，但已经是这个档期最好喜剧片了。
        ",二月鸟语,https://www.douban.com/people/p2165/,推荐,491
" 全程保持尴尬又不失礼貌的微笑
        ",我爱罗宾,https://www.douban.com/people/49867478/,2017-09-30 11:00:22,332
" 只有沈腾的部分好笑，其他部分真是腻歪。主要是这个互换身体的老梗并没什么新花样～还有最致命的是全片审美太low了…
        ",华盛顿樱桃树,https://www.douban.com/people/49213881/,较差,281
" 看了点映。全程笑点不断，而且完全不尬，是真的逗，bgm也都恰到好处，乐的我出了电影院还在回味。大情节上确实有俗套的地方，不过这已经不重要了，重要的是，下了班喝了酒的晚上 看了这样一部电影，觉得轻松又快乐～ 多一星给当天晚上的我们。
        ",Violin.,https://www.douban.com/people/Viooolin/,力荐,428
" 这个脸有点精神污染..
        ",阿噗不高兴,https://www.douban.com/people/146256272/,较差,25
" 因为儿子这段时间超级迷托马斯，因此下了这部电影，在无字幕，无中文配音的艰苦条件下，连续3天重复看了N遍，故事情节紧凑，音效，画面都很好。
尤其是对比现在国内的动画片，简直没法比，尤其是配乐和情节，还有画面色彩，对于孩子来说，接触此类电影可以开发思维。
        ",Jane,https://www.douban.com/people/10337683/,力荐,26
" 成人和孩子视角不同会对片子评价大相径庭，成人嫌弃孩童欢腾。托马斯潜移默化的陪伴以及对小朋友成长阶段出现的小问题提出并矫正，赞~小朋友对新角色勇宝接受度还挺高
        ",姹紫嫣红开遍。,https://www.douban.com/people/44551171/,推荐,11
" 看起来像恐怖片，脸吓人，个人意见勿喷
        ",喵小琰,https://www.douban.com/people/49434155/,2017-09-18 14:54:47,6
" 面部表情僵化，只会动眼珠子，台词就那么几句，小孩子也不是这么糊弄的
        ",气质哥,https://www.douban.com/people/154596149/,很差,11
" 中国火车头勇宝竟然没得冠军！
        ",大黑骡子,https://www.douban.com/people/daheiluozi/,2017-09-23 23:49:50,3
" 我们华夏的烂片还要出多少？无演技无剧情无底线？
        ",Detroit.,https://www.douban.com/people/165496586/,2017-10-01 08:26:47,0
" 好想毫不犹豫的打一星，虽然还没看
        ",小明,https://www.douban.com/people/138215966/,2017-09-30 13:41:13,0
,,,,
,,,,
,,,,
" 夏洛虽披着扭曲的价值观强行“感动”令人尴尬，索性还有不同凡响的笑料，这次抛弃情怀直接裸奔，预告片将全片笑点一网打尽。娘娘腔梗是主线，人物精分随手就来，变身后缺乏性格转变的挖掘，女主“被利用”这个很关键的节点竟然毫无说明糊弄过去了，情节像其中毫无眼泪的干嚎哭戏一般虚假、无趣、粗糙。
        ",很爱很爱老咪,https://www.douban.com/people/laomi92/,很差,195
" 没有找到哪怕一丝一毫的亮点，一下也没笑出来，十一档看了两部踩了两颗雷，心疼电影票钱
        ",北瓛,https://www.douban.com/people/FootageMania/,很差,208
,,,,
,,,,
" 开头中国火车植入太强，最后有种坐在幼儿园教室的感觉。剧情啰嗦，但色彩好美。
        ",mumudancing,https://www.douban.com/people/mumudancing/,还行,3
" 勇宝强势插入，但只来得及做二维，且故事太北方；片长对小孩算适中，最后一段复述情节略敷衍；问答部分全场小孩都很投入，有点幼儿园教室的感觉，也很适合几十座小影厅下午排期做亲子场，看完刚好离场吃晚饭；歌曲没有配中文版小孩不一定懂
        ",逆风飞扬,https://www.douban.com/people/slowlycontinue/,推荐,1
" 教条太多
        ",jasper的迷姐,https://www.douban.com/people/159306302/,很差,1
" 小时候一度被托马斯吓到过
        ",红藕香残玉簟秋,https://www.douban.com/people/127437486/,还行,1
" 陪女儿去看的
                
                ",冬至,https://www.douban.com/people/Innerplant/,2017-09-29 02:02:40,0
" 介绍里说托马斯和来自中国的勇宝展开了友谊之旅，那么起码是围绕他们开始剧情。但其实勇宝只是在开头阶段用一段手绘动画介绍了几分钟，一看就是为中国上映而特别临时增加的。似乎很重视中国，但更像是骗人。
        ",文木,https://www.douban.com/people/skylk2000/,还行,4
" 小朋友喜欢
        ",御剑乘风,https://www.douban.com/people/50560714/,推荐,0
" 脸。。。有时候莫名丑萌
        ",长歌行,https://www.douban.com/people/138633457/,还行,1
" 2017-9-23 Saturday 星星看的第一场电影。对于离火车头早已遥远的现代生活，不知道孩子们是否能够理解。不过能不吵不闹看完，看来还是很吸引他的。
        ",包包,https://www.douban.com/people/shuiqi/,推荐,0
" 一直不喜欢这个动漫形象（单指画风），但是故事啊角色塑造都不错。
        ",张菩菩,https://www.douban.com/people/2044324/,推荐,0
" 其实还蛮有意思的，就是太短了
        ",julie妮妮,https://www.douban.com/people/37824043/,还行,0
" 嗯……感觉还没有电视好看，中国火车头强硬植入却没有剧情，让人怀疑是中国特供版。
        ",羊男,https://www.douban.com/people/suzichong/,还行,0
" 如果说被娃叫醒两次是代沟问题，旁边小朋友看到一半就要回家怎么说🤔
        ",Katherine,https://www.douban.com/people/2705746/,还行,0
,,,,
,,,,
" 导演，如果这里面有堕胎你就会怀孕。敢不敢赌一把
                
                ",丿小炫,https://www.douban.com/people/63474968/,2017-06-01 05:15:58,64
" 很多导演心目中的青春是啥？是热血，是暴力，是矫揉做作，甚至是踏马杀人。
        ",金评媒,https://www.douban.com/people/132658495/,2017-07-31 13:59:09,31
" 特别出演的觉宝到底是多特别，镜头不超过两分钟就不看了
        ",我叫小阿宁,https://www.douban.com/people/52619679/,2017-06-04 14:08:22,6
" 刚刚在北京百丽宫看过，虽然是活动票，但我还是忍不住说太烂了！不过还是希望导演能够慢慢的进步。各种狗血，导演的各种构思想法还是不错的，可是，能力有限，撑不起来。穿插一些青春的歌曲，以及数场飙摩托车的戏份，可依然表现无力。本想打一星的，可想想国内的年轻导演还是需要鼓励的吧。多给一星。
        ",wujianxingzhe,https://www.douban.com/people/63044125/,2017-09-14 22:03:26,10
" 黑社会也有青春
        ",pollyanna,https://www.douban.com/people/chickying/,2017-08-15 15:56:33,6
" 预告片看了很对味，有点类似《少年巴比伦》，李梦真是又美又会演！一定会去看！
                
                ",慢先森,https://www.douban.com/people/mr.slow/,2017-10-03 17:03:38,0
" 刚看了点映，不剧透，这是一部可以看的青春电影
        ",lupeng-love,https://www.douban.com/people/4891432/,2017-09-10 18:33:25,13
" 这一天是我生日 我不知道有多喜欢李梦
        ",周一,https://www.douban.com/people/154309071/,2017-07-20 12:01:09,4
" 推荐人认为""每种青春都值得书写""，底下评论对此不买账(校园暴力/大多数人两点一线的青春)…
        ",渡上飞草,https://www.douban.com/people/61471589/,2017-07-01 10:13:22,3
" 恶心死我了，说想看好看的，点开一看，全是刚注册的水军
        ",丁丁的大丁丁,https://www.douban.com/people/139235676/,2017-09-10 07:19:45,5
" 看
        ",红藕香残玉簟秋,https://www.douban.com/people/127437486/,2017-10-03 15:53:02,0
" 确定片名不是抄袭B哥的《被禁忌的游戏》？？？
        ",布鲁克林有棵树,https://www.douban.com/people/cmj1994/,2017-09-25 15:52:12,10
" 觉宝上次微博宣传的就是这部剧嘛？回头得看看
        ",叮当没有猫,https://www.douban.com/people/46382710/,2017-06-17 01:16:03,2
" 观望
        ",sam,https://www.douban.com/people/samsyu/,2017-09-26 16:29:10,0
" 卜冠今
        ",扬兮婉兮,https://www.douban.com/people/148049289/,2017-07-19 08:20:47,4
" 我和青春有个约定
        ",小杨树,https://www.douban.com/people/yjhxiaoyangshu/,2017-07-11 10:36:48,1
" http://mp.weixin.qq.com/s/p89eokv1rPduYRPWhTlMzg院长
        ",影王,https://www.douban.com/people/155371155/,2017-09-18 08:06:36,3
" 看起来很硬朗，是暗黑暗黑的青春，还是有点期待!
        ",林檎的苹果园,https://www.douban.com/people/mickyququ/,2017-09-18 12:00:30,0
" 微博热搜吸引过来的。这片子热搜上被誉为9分神片。看了下预告，可能是买的热搜吧。尴尬的青春片。

        ",Rick,https://www.douban.com/people/107012290/,2017-10-01 17:24:01,0
" ppt一般的预告 正片就一定能好？
        ",mitou,https://www.douban.com/people/57837125/,2017-09-19 21:44:54,1
,,,,
" 这片配大张伟真是绝配！抄袭圈的银河战舰啊！
        ",创造者1412,https://www.douban.com/people/56328904/,很差,158
" 这还不叫抄袭？
        ",海豚小北,https://www.douban.com/people/71918561/,很差,93
" 非常恶心的作品。还能锁分不给人看？
        ",大世界之王,https://www.douban.com/people/140382106/,很差,73
" 首先，这不是特摄片，而是动画片。然后，奥特曼基本打酱油，主角是特么的什么铁甲飞龙。第三，动画制作非常糟糕，简单且黑糊糊一片。剧情也非常傻逼，角色们全程嘴炮讲人生哲学，小朋友都看到全程打滚。配音很厉害，几个飞龙战士连合体唱词都喊不齐，可以的。大张伟老师声音辨识度极高，很出戏。
        ",桃桃淘电影,https://www.douban.com/people/qijiuzhiyue/,很差,60
" 无耻到这种地步
        ",淡夏轨迹,https://www.douban.com/people/42532242/,很差,104
" 别给奥特曼抹黑，大张伟我这么说吧，低俗无下限
        ",rafeal,https://www.douban.com/people/84666095/,很差,105
" 烂糊奥特曼：我是农民的儿子，穷怕了
        ",爱你，小姐姐,https://www.douban.com/people/153122149/,很差,38
" 不尊重版权
                
                ",😻猫球球,https://www.douban.com/people/cocomademoisell/,很差,87
" 今天刚带孩子去电影院看了，孩子很高兴，对我说，以后也要像奥特曼一样惩恶扬善。所以在我看到网上那么多谩骂这部电影的时候，我想多说一句，这部电影本来就是给小朋友看的，那些成年人你们看过没，就随波逐流乱写评价。
孩子看的高兴，我觉得就够了，不需要什么大道理可讲！
        ",猫小样儿,https://www.douban.com/people/huangjx1030/,推荐,133
" 比什么《十万个冷笑话》好看多了
        ",临冬城的狮子,https://www.douban.com/people/131719688/,还行,17
" 赵部长，你变了，你竟然拿那两个亿去拍电影
        ",Lovemoo,https://www.douban.com/people/144804999/,很差,26
" 回应猫小样儿：你孩子要维护正义是好事，但别忘了，侵权是一件与正义相反的事情。我完全没有发现圆谷株式会社的名字。
        ",七月在野,https://www.douban.com/people/159493588/,很差,21
" 现在中国的电影吃相都这么难看了吗？拿着抄来的东西说“我们没有侵权，这是我们的原创国产电影”，这么侮辱观众的智商是要有报应的，所谓的版权来源都在泰国蹲大牢啊，好意思说是正版授权？还有，你管那玩意儿叫奥特曼？
        ",飞翔的亨德森,https://www.douban.com/people/120229461/,很差,46
" 带着小盆友一起看的这部电影，非常棒，小孩听说看电影，那是老喜欢了，哈哈，奥特曼也让我找到了我的童年，和邻居的小伙伴打打闹闹，聚在一起无忧无虑的日子。真的好怀念那段岁月，现在长大了，忧愁多了，偶尔看个电影轻松一下～p.s.大张伟不错，配得很棒，赞呢
        ",韦小宝me,https://www.douban.com/people/27521612/,推荐,120
" 真的是，奥特曼本人…另外，怪兽的吼声，也是哥斯拉本音…
        ",法兰西胶片,https://www.douban.com/people/flxjp/,2017-09-24 21:03:41,24
" 再见奥特曼
        ",一粒米,https://www.douban.com/people/guoyeh/,很差,36
" 。。。为何不请些专业配音演员，而请些配得一塌糊涂的明星呢？
        ",权鸡鸡_,https://www.douban.com/people/leonislyu/,很差,36
" 奥特曼到底在这里是好是坏啊，大张伟配音的小星真搞笑。四岁半孩子看有点害怕。
        ",莹小宝,https://www.douban.com/people/benbenmuxi/,较差,18
" 值得共享《汽车人总动员》在我这里的打分待遇，以及，某个配音和这部电影真是相得益彰，杨洋的油腻是菜籽油，这个人的油腻是猪油
        ",indicent time,https://www.douban.com/people/51061132/,很差,8
" 1星都不想给，正在电影院里，很多小朋友在看，太多暴力情节和大人都不喜欢的梗，太失望了。
                
                ",蓝色耳朵,https://www.douban.com/people/55557517/,很差,27
,,,,
,,,,
" 音乐好听的电影都不会差，彝族方言版的《蓝色卡拉萝》是今年电影院听到最好听的主题曲，没有之一了。
        ",团小纸,https://www.douban.com/people/skymoto/,推荐,34
" 剧作大框架完全按照好莱坞的结构来起承转合，也有看到小黄人、愤怒小鸟、怪兽大学的影子。就制作而言真的很良心了，当然差距依然存在，但我觉得不在于完成度，是成熟度。
        ",levitating,https://www.douban.com/people/levitating/,还行,27
" 二头身阿凡达山寨片…打算后续开发游戏吗？
        ",恶魔的步调,https://www.douban.com/people/Len./,还行,3
" 根本不欢乐  只有勇敢 没有智慧 剧情依然低龄单薄 制作和歌还不错 整体比阿唐奇遇差点  最后一部要翻身逆天才行了
        ",澐趐,https://www.douban.com/people/wensiyu/,较差,5
" 完全看不下去
        ",凤影妮窝,https://www.douban.com/people/40424240/,很差,10
" 视觉效果极佳，反映出国产动画片的长足进步。故事是励志型，热血加勇气，战胜一切不可能……
        ",风之影,https://www.douban.com/people/colorwind/,推荐,25
" 续篇反转的不仅是一个新的适宜地球人居住的开普勒星，更有昆塔之后新一代人的热血继承。
        ",绯色_神仙,https://www.douban.com/people/77869650/,推荐,13
" 困死了
        ",澳大利亚喂袋鼠,https://www.douban.com/people/18021724/,还行,3
" 难得剧情不错
        ",有若,https://www.douban.com/people/ruospring/,推荐,14
" 脑洞大开的想象世界，绚丽多彩，场面也是很完美了，毕竟是摄影专业出生的导演，保证了电影的画面，还带来了一些新的创意和元素。
        ",390348839,https://www.douban.com/people/62094946/,力荐,18
" 太惊喜，视效堪称国产动画的里程碑，细微到发丝颗粒，瞳孔纹理。沙漠渐变成海浪的那一刻，毛孔都被触动得浑身激灵。良心之作《昆塔：反转星球》，关于勇气和信念的童话，献给奋力拼搏的你。

容许我强行安利：不看这部电影，你不会死。但是你看过的话，你会更加勇敢的活下去。
        ",顾海堂,https://www.douban.com/people/146342161/,力荐,20
" 超出预期，确实有能打动到我的点，小主角的勇气非常感人。制作也很精良。希望这个世界上的付出都能有回报。
        ",孙悟空,https://www.douban.com/people/42241228/,推荐,13
" 有点意外，制作很精良，对于外星世界的描绘和蒸朋风格机械的设计很令人欣喜。最爱的还是那首彝族歌曲，太美了，很成功塑造出既熟悉又陌生的感受，带领我一秒进入外星异世界，同时又充满怀恋家乡的感伤。
是一部真正的科幻片，适合寻找勇气的孩子们。
        ",小姬,https://www.douban.com/people/jishaoting/,推荐,19
" 科幻、蒸汽朋克，场景满分，配乐满分，原创音乐“蓝色卡拉萝”超好听。
        ",残风,https://www.douban.com/people/65915294/,力荐,15
" 大脸是萌，方脸是萌，大嘴是萌，大脚是萌，腿短是萌，矮是萌，圆也是萌~~
嘤嘤嘤，什么都干得出来的人类啊，为什么那么萌放到乃们身上全部都不行了呢
        ",颜禾,https://www.douban.com/people/4288733/,还行,7
" 少数可以拿得出手的国产动画之一 无论是特效还是人物设计都超过预想 话说几乎每一个动画片的女主都能吸引我 嘎嘎好可爱的说！
        ",Smurfette,https://www.douban.com/people/74091502/,力荐,11
" 惊艳
        ",几千块,https://www.douban.com/people/jqk4388/,推荐,11
" 和小朋友一起看的点映场，视觉特效故事都有了，音乐好听，喜感元素也有点缀，rap 嗨歌和发现母树这两段很棒，国产动画鼓励3星半。
        ",Chansuwa,https://www.douban.com/people/63858929/,推荐,14
" 朋友带我去看的，结果睡着了……真对不住（。
        ",蛋腚君,https://www.douban.com/people/ailanyiying/,较差,2
" 看了点映,太热闹了，现场的绿帽玩偶小孩子喜欢死了，超级Q。画面很棒，说真的，不输好莱坞的那些巨制动画，讲故事节奏还有待提高。无论如何，国产动画粗制乱造的太多，这部作品已经非常良心，值得去看。
        ",baby4444,https://www.douban.com/people/baby4444/,力荐,18
,,,,
,,,,
" 是谁给刘涛这个角色起名叫“林保怡”的……
        ",刘十九,https://www.douban.com/people/4901199/,还行,928
" 上访大爷怒怼爱尔兰政客，手撕恐怖分子，腐国坐收渔利的故事，不一样的成龙，也是近几年最好的成龙。马丁坎贝尔对电影节奏和情绪铺陈驾驭不错，简单的剧情完成度很高，黑暗边缘+特工爷爷+非法制裁，成龙刻意作出的老态脱俗无伤，唯有打斗还能看到昔日大哥的影子。成龙还能打，只不过换了风格
        ",乌鸦火堂,https://www.douban.com/people/dreamfox/,推荐,1101
" 其实除了关玉明，被侄子睡了老婆、找的情人还是眼线，而且时时刻刻在背锅的007也深深值得大家同情，不是吗？
        ",方枪枪,https://www.douban.com/people/yalindongdong/,还行,712
" 成龙近年最佳之作。虽然龙叔平时很搞笑，但其实真正的演员是可以想笑就笑，想严肃就严肃的，他就是。我在这里面记住的不只是成龙，还有主角关玉明。奥斯卡终身成就奖没的说，只是龙叔老了，未来的接班人又在何处呢？想让他年轻十岁。五星，多一星给龙叔对电影的热爱和玩命的业务能力。
        ",巴啦啦小魔仙,https://www.douban.com/people/54907599/,力荐,1174
" 成龙本身没毛病，他这几年的个人最佳。但影片依然不够好，问题在于成龙角色的尴尬地位。这本质是一部政治惊悚片，大多情节张力来源于抽丝剥茧看清真相，复仇太过简单，按理说只是B故事，非要拍成双线并进，就让成龙的角色非常难处理。于是主角动机说不清，行为不合理等问题纷纷暴露，成为最大缺憾。
        ",吃胶片的考拉,https://www.douban.com/people/thegreatkoala/,还行,435
" 成龙流水线里还比较精彩的一部，马丁·坎贝尔的调度还不错，63岁的成龙作品还能有这样的完成度，真的是努力的前辈。
        ",团小纸,https://www.douban.com/people/skymoto/,推荐,722
" 更新了最短流泪时间，开场五分钟我就哭的不行了。这个男人，再不是那个神勇无敌的英雄，而是一个失去女儿绝望的父亲，一个只想查明真相手刃仇人的受害者。这一次，落在我心上的，不是大哥利落的拳脚，而是他眼角的眼泪，眼里的悲伤。但影片并不是完全压抑的，还掺杂着英式黑色幽默，因果报应，环环相扣
        ",一口吃掉小蛋糕,https://www.douban.com/people/cheesecakehouse/,力荐,521
" 三星半，并不是典型的成龙功夫片，其实他更像是一个功能型角色，整部电影的设定还是一个典型的政治惊悚片路数，不过，由于有成龙的加盟，使得这部电影在动作部分变得更精彩。这也是成龙这些年表演得最严肃的一回，非典型成龙。唯一的遗憾是成龙与布鲁斯南两条线的互动与必要性还是不够，缺点关联
        ",桃桃淘电影,https://www.douban.com/people/qijiuzhiyue/,推荐,190
" 第二个彩蛋简直了。不剧透了自己体会
        ",shiki,https://www.douban.com/people/53179231/,推荐,5201
" 上一次见到这样的成龙，还是在新宿事件，真是久违了
                
                ",淋,https://www.douban.com/people/75215757/,还行,324
